5,j***3,很惊艳，支持国产。,2019-01-04 23:58:07,http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/27498/20/4335/110558/5c2f828fE032498b6/3139a06aafc5d50a.jpg
5,j***b,特意用了两天才来评价的，官网查询正品，机器相当漂亮，支持国产，以后不用水果机了，店家服务不错。还会再来。,2018-12-23 19:01:36,http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/11576/21/3456/124937/5c1f6b10Ec297f3d7/f554af96e48b7fbe.jpg
5,属羊的巨蟹座,心惊胆战，怕租到绿屏，结果没有，好开心。手机颜值很高，拍照没的说，系统也是优化的挺流畅的,2018-12-15 08:14:59,
5,j***z,爱国人员一枚 以后都用华为 速度特别快 好评,2018-12-27 20:17:20,
5,j***1,给老公租的，他很满意，他说比苹果强多了，国产骄傲！卖家人挺好的，有什么要求都尽量满足了，很耐心，很周到！还送了很多赠品。祝卖家生意兴隆，财源广进！,2018-12-19 13:49:31,http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/22922/29/2171/182988/5c19dbeaE2856b7c1/f0d3e18bff7f5c24.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/23523/9/2200/165565/5c19dbeaE90f490a1/f8b8babd03f3501a.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/20541/15/2184/310912/5c19dbebE40706e52/faaadd2c693acfde.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/15072/14/2087/224775/5c19dbeaE4dd0a0f5/00f5e5f8e051fc6b.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/9556/28/9860/149818/5c19dbeaEb59d146a/2d9e5077170e2e57.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/20339/11/2097/164359/5c19dbeaEb2a3aeba/62baeb26583d3730.jpg
5,w***y,比较秀气，颜值高，工艺到位，还没有使用高阶，继续学习玩机技巧才行啊,2018-12-15 12:15:04,http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/27750/7/1680/610623/5c147fc7Ef992803b/dfafeab30cdec8cf.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/19497/16/1649/306516/5c147fc7Ee6f22978/77569aeaecd9e11d.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/9477/39/9289/622117/5c147fc7E2fbefac4/a80be8c8b1b89c8a.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/25947/1/1697/707065/5c147fc7E31527638/3c5cf5086aacabb6.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/7141/17/9086/634415/5c147fc8E8939a049/7ef42397cd94fc6b.jpg
5,晚***旧,拆开手机第一眼就喜欢上了，高端大气，曲屏无边框，拿上手很舒适，华为真用心。,2019-01-06 12:51:19,http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/21744/40/4439/210526/5c318940E6896cbe3/fbb879eb89ad1f28.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/17342/4/4389/244736/5c318942Ebf5dec75/11bdcab88aef8001.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/22343/2/4374/263918/5c318944E5b3aeaee/e616510a3ca58d63.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/26418/40/4334/234715/5c318946Ed214975a/97ba4baffff2a16e.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/10674/39/8039/226015/5c318947E8a799af8/1ed308476ba633d8.jpg
1,1***5,这个手机是被拆过吗？？我感觉被坑了。翻新机？？？**呀！！！,2018-12-19 00:19:06,http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/17490/15/2030/121040/5c191dfaEd26b68e2/3cf887e194d06a08.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/14500/37/2124/182596/5c191dfaE4b06ab4a/8448b5608e17de01.jpg
5,j***8,效果非常棒，很喜欢，给家里人用，都说挺好的支持华为支持国产HUAWEI，中国华为,2018-12-24 01:18:19,http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/22668/10/2720/158976/5c1fc359E4bb497e7/4f71ce89932592d8.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/9448/34/9738/106353/5c1fc359E17396db6/518a1a96eeaef6b7.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/10794/1/6279/132887/5c1fc35aE899642de/b293e4b4b32ce18b.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/25390/32/2725/115296/5c1fc35bEa549cb1f/3c823c5bb22f8fd1.jpg
5,l***8,手机是租给老婆用的，运行速度超级流畅，屏幕效果超好，客服态度很好，解决问题很快，一次不错的购物体验。,2018-12-17 13:13:39,http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/22535/15/1861/94098/5c173080Ef8fe8fff/dd2618f08ffbedb3.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/21575/16/1871/121593/5c173081Eb1f2a9ef/53afb1452ae58140.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/24934/11/1885/86825/5c173082Ec8bcf7de/87a48d439c2dbbb0.jpg
5,钧***美,原装正品货，官网都没有货他家抢到了。华为越来越好用了,2019-01-09 09:00:28,http://img30.360buyimg.com/shaidan/s616x405_jfs/t27571/323/2612766970/819285/441d96f7/5c3547aaNdcf6bba3.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t26350/316/2580186773/813723/73002985/5c3547abN73964900.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t27568/325/2573203585/888721/df2137ab/5c3547acN06b724f7.jpg
5,暗天落幕,收到了，手感超足的，谢谢客服和快递小哥！,2018-12-16 21:49:06,http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/20331/11/1798/80852/5c1657ccE063e52b6/ee10bcbd2a52651b.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/20310/22/1851/157849/5c1657ceE5c40a006/15a677f63645aa0a.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/28523/11/1808/147071/5c1657d1E36b0975b/7251bfd6eafb0cae.jpg
1,c***y,购租使用一个月，出现网上评价的绿屏，死机！坚决吐槽到底，要求换新机或退款！换机，要求提前寄送新机，便于更换。,2019-01-04 13:19:34,http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/16588/30/4186/58459/5c2eece6E4c69905f/60c8c4a369e60c5c.jpg
5,j***d,手机电池很棒，充电很快，拍照是真强大，搭配华为980麒麟是真流畅，祝华为公司越来越强大，店铺发货是真快，客服态度是真好，总体我给九十九分，还有一分怕你骄傲,2018-12-25 21:37:40,http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/21217/5/2885/85335/5c2232a4E0a12e978/2376f0e349b5cfb1.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/19060/35/2959/83812/5c2232a4E143c4a42/ed0591f955dc75cb.jpg
5,j***w,很赞，麦粒儿是调货的么？在本地实体店都缺货了。用着很顺畅，爽！,2019-01-08 22:41:14,http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/19420/4/4634/97540/5c34b687E8b2544d6/5e4d1df5df8c3c36.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/23242/4/4674/74096/5c34b688Ed24b7409/d091a59137b2b018.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/19177/36/4674/118652/5c34b689Ecf79c629/bf03d78c0e4aa8cd.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/29705/13/4783/108491/5c34b68aE289c2680/37ed8bbf40fcec3e.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/22609/40/4739/101261/5c34b68aE5333a35d/f4316cac554f6bc9.jpg
5,j***9,很好、手机很漂亮、,2018-12-28 17:48:58,http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/21518/35/3297/229746/5c25f18aEeea0fbbb/1a80f9457184e9e9.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/23895/36/3293/247765/5c25f18aE6cdf8ee8/a4f92087a84a6ede.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/18003/30/3380/276439/5c25f18aE9b33b0a1/1b9aae2e2e554309.jpg
5,小***8,手机质量很好，华为值得信赖，此店铺第一次租感觉还不错。无绿屏现象。,2018-12-15 13:46:09,http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/9344/30/9312/133040/5c149521Eb207a218/da15a28cf6797f37.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/14410/14/1644/240998/5c149521E91c4541c/6a47313e7cf6945b.jpg
5,我***啦,还不错，好久没有用安卓手机有点不喜欢,2018-12-23 11:06:22,http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/24898/29/2673/318324/5c1efbaeE606051bb/0419d98f9fa7cee6.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/28970/23/2624/298165/5c1efbaeE022f52fd/9c95845dc8250b8b.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/21857/7/2525/221909/5c1efbaeE053948a6/a8db144c6e14bc10.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/11301/32/3419/264498/5c1efbaeEe4845fc8/b573bd1c90be1a25.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/8188/30/10932/234578/5c1efbaeEdc6bacc6/0ed231a89c94aefd.jpg
5,o***p,货物收到，作为年终会用，不错的手机，送的东西也非常实惠。谢谢！,2018-12-17 12:34:25,http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/10136/8/5487/150819/5c17274fE02165e69/89ade145e51f9a17.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/10631/32/5518/120644/5c172750E9b143877/00fb6095548c5cbb.jpg
5,t***o,显示非常棒，曲屏很舒服，运行流畅，拍照效果秒杀x，待电时间特长，像素感人,2018-12-15 00:31:35,http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/8278/1/9233/144839/5c13dae6Ee3298339/317e9bcfa7c4958d.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/7873/8/9258/249497/5c13dae7Eea26cc96/570b4d02f51c0ed3.jpg
5,j***q,运行速度那是相当快，一点不比什么果差。手感特别好，照相功能强大。很满意,2018-12-25 09:35:35,http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/23796/22/2908/58253/5c218920Ea8865d19/26b3111eca17374d.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/23866/38/2844/87616/5c218925E007d50f8/67b62b647775019d.jpg
5,卜***兆,很给力，一直想租，果然没有让我失望,2019-01-10 04:05:47,http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/23256/24/4984/125246/5c36541bE7459d7a1/b4805ea36c8f675c.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/22506/15/4877/51407/5c36541bEbd30edb6/6ffa9d07edeea389.jpg
5,j***3,性能满分 颜值满分 很满意 特意用了几天在评价  真的是华为良心之作，租回来还看了看自己是不是中奖了 估计第一批次之后绿瓶就很少了 总而言之 安卓机皇当之无愧，国产骄傲！,2018-12-15 09:09:11,http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/9103/15/9276/152616/5c145437E9ffffa48/c6ddc6c78b2cab28.jpg
5,漂***安,手机收到了，快递速度快，手机手感好，用着很踏实,2018-12-19 13:53:43,http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/22497/11/2132/266108/5c19dce6E0284838b/7ea128551e89d9c3.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/14801/18/2139/263104/5c19dce7E256537dc/505390d7fffd45ba.jpg
5,楠***7,心心念念的手机，终于到手了，包装很好，手机外观大气手感也很不错，发现了一个新功能，因为是一起租的两部，所以两个手机之间可以互相像蓝牙一样传电?简直6的不行。卖家服务态度也很好，好评,2018-12-15 18:07:48,http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/29302/14/1750/101311/5c14d271E50c8b5c6/451a931bc8ec734c.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/29348/7/1622/106994/5c14d272Eb1eaa65a/f642166cf433305c.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/24243/34/1684/114840/5c14d273Ea124bda4/8c8c7c7c77b12576.jpg
5,有***术,心仪已久的手机，物流很快，包装放心，收到货马上试用，拍照神器！送的软膜质量挺好，可以钢化膜高手老师傅遇到新问题，没贴好，店家答应再送一张膜，感谢！祝生意越来越红火！,2018-12-27 23:08:26,http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/19612/28/3219/573860/5c24eaeaEc334d61f/3407181ca99cf70c.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/29690/37/3230/498685/5c24eaeaE73f87181/9dbc1dc3bf1741c7.jpg;http://img30.360buyimg.com/shaidan/s616x405_jfs/t1/15035/4/3250/495206/5c24eaeaE20fdf35d/36c88d778b426a9c.jpg
