6月2日 16:59,置顶 令几代人着迷的经典即时战略游戏高清重制版本——《星际争霸：重制版》今日开启国服预购！仅需98元，即可提前将这款经典之作加入你的暴雪战网收藏。《星际争霸：重制版》即将发布，即日起购买，还可获赠丰厚预购奖励！预购请戳：O网页链接 L星际争霸的秒拍视频
37分钟前,想抢先体验《魔兽世界》和《炉石传说》全新版本吗？那你一定不能错过今年ChinaJoy的暴雪展台！除此之外，你还可以与猎空雕像合影，感受守望先锋全新AR实景地图，欣赏《星际争霸》明星选手表演赛。8月3日-8月6日，我们在上海新国际博览中心N3馆05号展台等你前来。详情：O网页链接
今天 16:22,《星际争霸II》八周年庆！为了庆祝《星际争霸II》的八周年，我们会为所有在庆典期间完成1场比赛的玩家赠送一个美味的蛋糕头像。《星际争霸II》需要大量的脑力，因此在攀爬天梯的时候别忘了品尝这美好的甜蜜哦。游戏中的工人也会一起加入庆典，活动将持续到7月31日。详情：O网页链接
今天 14:20,2018ChinaJoy即将临近，暴雪第六届COSPLAY大赛也在如火如荼的筹备中。在今年暴雪主舞台上，我们特意邀请了@163_Tyrant 以COS的形象闪亮登场，将与你们在现场倾情互动！你最想要看到他COS哪位角色呢？快来通过投票告诉我们吧！R你最希望看到JBR COS哪位角色？
7月23日 14:25,"《星际争霸II》本周#突变任务#：“雷鸣弹啸”。
机会渺茫
突变因子：
极性不定；扫雷专家

本周依然给大家分享@夏遇初临 带来的残酷难度攻略，希望能帮到大家。视频请戳：L7月23日0精通残酷突变攻略 星际争霸2合作任务"
7月21日 12:42,#暴雪游戏铁人五项#今晚大哥要登场了！
7月20日 17:06,"今天18点。继续来看KSL韩国职业联赛！在昨天的比赛中A组Mini 3:0击败Last；Rain 3:0击败Movie。今天让我们继续关注世界顶尖玩家在《星际争霸：重制版》中的精彩角逐！直播请戳：O网页链接 昨日赛事回放：LKSL-S1 DAY1 7.19
或通过斗鱼：696178 ；熊猫：1631632 ； 虎牙：1735597169 ； 战 ...展开全文c"
7月20日 10:28,今天这个对阵，就问小色怎么输！
7月19日 17:00,"今天18点。一起来看KSL韩国职业联赛！世界顶尖《星际争霸》玩家将会在《星际争霸：重制版》韩国职业联赛（KSL）中展开精彩的对抗。各大直播平台暴雪游戏频道将会带来本次比赛的转播，欢迎届时收看。直播请戳：O网页链接

斗鱼：525207 ；熊猫：1631631 ； 虎牙：1584989003 ； 战旗：16301  ...展开全文c"
7月19日 11:07,#我与星际争霸#微博有奖征文活动已经结束，我们收到了很多热心玩家们的投稿，感谢大家对《星际争霸》系列的热爱。经过评委团的讨论和评选，最终获奖结果名单如下： °#我与星际争霸#征文活动中奖公示
7月17日 14:09,7月19日-9月8日每周四、周五。一起来看KSL韩国职业联赛！随着《星际争霸：重制版》的发布，世界顶尖《星际争霸》玩家将会在《星际争霸：重制版》韩国职业联赛（KSL）中展开精彩的对抗。各大直播平台暴雪游戏频道将会带来本次比赛的转播，欢迎届时收看。详情：O网页链接
7月17日 11:18,第二期会扩大到全部的暴雪游戏哦~不来试试吗？
7月16日 15:27,"《星际争霸II》本周#突变任务#：“没钱麻烦大了”。
熔火危机
突变因子：
小捞油水；自毁程序；龙卷风暴

本周依然给大家分享@夏遇初临 带来的残酷难度攻略，希望能帮到大家。视频请戳：O网页链接"
7月13日 15:22,#暴雪游戏铁人五项#第二季7月20日敬请期待！
7月13日 14:36,6月29日，第三届WESG世界电子竞技运动会正式开赛，《星际争霸II》中国区预选赛开放报名中，赛事将持续3个月，走过中国20余个城市和地区，玩家报名后即可参加，着力打造低门槛、公平性赛事，让更多玩家可以参与进来。报名请戳：O网页链接 赛事详情：O网页链接
7月12日 15:48,2018年暴雪游戏#全民实力赛#夏季赛正式开启，本赛季新增的《星际争霸II》，以及《守望先锋》、《炉石传说》、《风暴英雄》，四大项目报名已经全面开放，所有玩家均可报名参加！作为一项零门槛的全民性赛事，只要你喜欢《星际争霸II》，全民实力赛就会成为你的舞台！报名请戳：O网页链接
7月12日 14:20,原来是这么一套试卷啊~来测测看你能得多少分！
7月12日 12:02,"今晚21:45。《星际争霸II》世界锦标赛巡回赛瓦伦西亚站就将打响，iAsonu、Rushcrazy和Cloudy将会代表中国赛区参赛，与来自世界各地的顶尖选手角逐高达101,000美元的总奖金，宝贵的世界锦标赛巡回赛积分，以及属于冠军的2018世界锦标赛全球总决赛参赛名额。欢迎大家锁定直播：O网页链接
或通 ...展开全文c"
7月11日 19:59,你的暴雪梦之队会有哪些成员？！
7月11日 17:54,"《星际争霸II》世界锦标赛巡回赛瓦伦西亚站将于北京时间7月12日21:45 打响，IG俱乐部的iAsonu、Rushcrazy和Xteam俱乐部的Cloudy将会代表中国赛区参赛，与来自世界各地的顶尖选手角逐高达101,000美元的总奖金，宝贵的世界锦标赛巡回赛积分，以及属于冠军的2018世界锦标赛全球总决赛参赛名额。敬请关注直 ...展开全文c"
7月11日 17:03,世界锦标赛系列赛中国选手：我们来了，瓦伦西亚！2018《星际争霸II》世界锦标赛系列赛瓦伦西亚站将于7月12日 - 7月15日正式打响，本届赛事有三名中国选手出战瓦伦西亚站，分别是@iG电子竞技俱乐部 的iAsonu、Rushcrazy和Xteam俱乐部的Cloudy。让我们一起了解他们将如何备战！请戳：O网页链接
7月11日 14:18,我们星际队的闭着眼睛就能拿冠军！
7月10日 16:56,《星际争霸II》银白联赛第三十四周的报名将于 7月9日-7月15日 进行，比赛将于 7月21日-7月22日 进行，人数上限为128人。欢迎各位《星际争霸II》的爱好者们踊跃报名参与比赛。报名请戳：O网页链接
7月10日 11:20,为了迎接暑期的到来，我们将为各位指挥官推出《星际争霸Ⅱ》暑期限时特惠，战役、指挥官礼包以及播报员礼包等热门产品一网打尽，部分产品低至5折。本次活动将从即日至7月31日结束，总共持续3周的时间。快来补齐你的收藏吧！促销详情戳：O网页链接
7月9日 18:38,你是否认真看完了《星际争霸II：自由之翼》的剧情呢？或者说已经有些淡忘了？在《星际争霸重制版》来临之际，不妨一起来回顾一番《星际争霸II》的剧情吧！3分钟带你看完《自由之翼》的故事：O网页链接
7月9日 16:08,谁说我们星际没有女玩家~！无论是守望先锋 还是星际争霸我们都是暴雪玩家~！
7月9日 14:45,"《星际争霸II》本周#突变任务#：“黑暗时刻”。
克哈裂痕
突变因子：
风暴英雄；坚强意志；鼓舞人心

本周依然给大家分享@夏遇初临 带来的残酷难度攻略，希望能帮到大家。视频请戳：O网页链接"
7月6日 16:31,"2018亚洲运动会将于今年夏天在印度尼西亚拉开序幕，《星际争霸Ⅱ》将被纳入这个全球规模第二大的综合体育赛事中。

除了《星际争霸Ⅱ》，其他如《炉石传说》以及更多游戏也将出现在亚运会上，这是电子竞技首次取得国际奥林匹克委员会区域机构的认可。当足球、游泳和田径运动员在亚运会上竞逐荣誉时，来 ...展开全文c"
7月6日 10:43,#暴雪游戏铁人五项# 第二季要来啦！7月20日晚八点！七位队长你看好谁呢？！
7月5日 11:06,#我与星际争霸#有多少人的启蒙游戏是星际争霸？
7月4日 18:39,《星际争霸II》#黄金职业联赛#第三赛季落下帷幕，Top.Cyan以第一名的优秀成绩获得了世界锦标巡回赛蒙特利尔站的晋级资格。重回巅峰的他是如何度过风雨飘摇的时期？作为一位准父亲，身份上的变化会对他的心态和职业生涯上带来怎样的变化?今天一起来了解他背后的心路历程：O网页链接  ...展开全文c
7月4日 16:28,在上周末#黄金职业联赛#第三赛季决赛的舞台上，进行了一场别开生面的大魔王挑战赛。来自韩国的职业选手Flash与中国选手JeDi、Leiche进行了《星际争霸：重制版》的精彩对决。如果你没有来得及观看，我们特意上传了实况录像，欢迎欣赏：O网页链接
7月3日 14:57,#我与星际争霸#微博有奖征文活动本周是最后一周~我们收到了很多指挥官们的精彩故事，还想分享故事的指挥官们要抓紧时间咯~！
7月2日 16:54,哇！真希望有这么和平的一天！太棒了！谢谢你！#星际争霸二十周年#
7月2日 14:04,"《星际争霸II》本周#突变任务#：“死亡危机”。
往日神庙
突变因子：
虚空重生者；行尸走肉；力量蜕变

本周依然给大家分享@夏遇初临 带来的残酷难度攻略，希望能帮到大家。视频请戳：O网页链接"
6月30日 22:09,《星际争霸II》#黄金职业联赛#第三赛季冠军诞生！在今晚先进行的#中国好星际#特别篇大魔王挑战赛里，Flash在三场比赛中全部获胜。而在最后的黄金职业联赛决赛中，TOP.Cyan以4:0的比分战胜了TooDming，捧起了冠军奖杯，祝贺他！也期待这两位选手在接下来的世界锦标赛巡回赛蒙特利尔站中能够有更出色发挥 ...展开全文c
6月30日 19:18,神秘大魔王的真实身份揭晓！他就是来自韩国的Flash！他将在接下来的大魔王挑战赛中，迎战中国选手JeDi和Leiche！一起来锁定直播：O网页链接
6月30日 16:46,今天17点，别错过《中国好星际》特别篇和黄金职业联赛第三赛季的最终决战！直播请猛戳：O网页链接
6月30日 15:30,"今天17点。我们将首先迎来《中国好星际》特别篇的精彩节目以及充满悬念的大魔王挑战赛。在那之后将会是黄金职业联赛第三赛季的最终决战。无论是想感受韩国天王级选手的强悍实力，还是见证黄金职业联赛的冠军归属，都不要错过今天的精彩直播：O网页链接

斗鱼：525207 ；熊猫：1631631 ； 虎 ...展开全文c"
6月30日 13:00,"今日17:00 别错过#中国好星际#特别篇！ @毒奶色 @tossboy孙一峰 @三炮SCDL @刘青是二龙 四位导师将选出两位特别期学员挑战“神秘大魔王”，敬请关注。
另外，你觉得“大魔王”会是谁？"
6月29日 23:21,《星际争霸II》#黄金职业联赛#第三赛季淘汰赛结束，Cyan和TooDming会师决赛，也获得了《星际争霸II》世界锦标赛巡回赛蒙特利尔站的参赛名额。明天（6月29日）17点起，我们就将迎来两位选手的总决赛，究竟谁能够夺得第三赛季的冠军呢？此外，还有#中国好星际#特别篇精彩别错过！直播请继续锁定： ...展开全文c
6月29日 20:58,"《星际争霸II》#黄金职业联赛#第三赛季淘汰赛正在激烈进行中。TOP.Cyan在半决赛中击败了TOP.Jieshi成功晋级决赛。目前正在进行的是另一场半决赛，由Shana对抗Toodming，究竟谁能拿到进入决赛的最后一个名额？一起来关注直播：O网页链接
或通过斗鱼：525207 ；熊猫：1631631 ； 虎牙：1584989 ...展开全文c"
6月29日 18:12,#中国好星际#特别篇将于6月30日17:00播出！特别篇将使用《星际争霸：重制版》进行，小色、F91、三炮、二龙四位导师将在挑战者中挑选心仪的学员，并用自己丰富的经验帮助他们。在特别篇中成绩最好的两位选手，更有机会挑战神秘韩国天王，与其在《星际争霸：重制版》中一较高下！精彩别错过： ...展开全文c
6月29日 12:22,"今天13点。一起来关注《星际争霸II》#黄金职业联赛#第三赛季八强淘汰赛！BreakingGG、TOP.Jieshi、TOP.Cyan、IGXY、Shana、IGXiGua、Toodming、夜蝶八位选手将通过BO5单败淘汰赛争夺决赛名额，究竟谁能够冲入决赛呢？一起来关注直播：O网页链接

或通过斗鱼：525207 ；熊猫：1631631 ； 虎牙 ...展开全文c"
6月28日 17:58,"种子选手赛场失利，“好星际”学员新人崛起。你Pick的选手能晋级2018《星际争霸II》世界锦标赛巡回赛蒙特利尔站吗？6月29-30日猜不到结局的《星际争霸II》#黄金职业联赛#第三季了解一下！

记得锁定直播地址：O网页链接"
6月28日 16:45,在《星际争霸II》4.4.0版本中，合作任务指挥官凯瑞甘的异龙单位获得了改动。今天分享来自up主“大黑的兔子”的一段视频，详细解析了改动后的凯瑞甘异龙用法。欢迎观摩：O网页链接
6月2日 16:59,置顶 令几代人着迷的经典即时战略游戏高清重制版本——《星际争霸：重制版》今日开启国服预购！仅需98元，即可提前将这款经典之作加入你的暴雪战网收藏。《星际争霸：重制版》即将发布，即日起购买，还可获赠丰厚预购奖励！预购请戳：O网页链接 L星际争霸的秒拍视频
38分钟前,想抢先体验《魔兽世界》和《炉石传说》全新版本吗？那你一定不能错过今年ChinaJoy的暴雪展台！除此之外，你还可以与猎空雕像合影，感受守望先锋全新AR实景地图，欣赏《星际争霸》明星选手表演赛。8月3日-8月6日，我们在上海新国际博览中心N3馆05号展台等你前来。详情：O网页链接
今天 16:22,《星际争霸II》八周年庆！为了庆祝《星际争霸II》的八周年，我们会为所有在庆典期间完成1场比赛的玩家赠送一个美味的蛋糕头像。《星际争霸II》需要大量的脑力，因此在攀爬天梯的时候别忘了品尝这美好的甜蜜哦。游戏中的工人也会一起加入庆典，活动将持续到7月31日。详情：O网页链接
今天 14:20,2018ChinaJoy即将临近，暴雪第六届COSPLAY大赛也在如火如荼的筹备中。在今年暴雪主舞台上，我们特意邀请了@163_Tyrant 以COS的形象闪亮登场，将与你们在现场倾情互动！你最想要看到他COS哪位角色呢？快来通过投票告诉我们吧！R你最希望看到JBR COS哪位角色？
7月23日 14:25,"《星际争霸II》本周#突变任务#：“雷鸣弹啸”。
机会渺茫
突变因子：
极性不定；扫雷专家

本周依然给大家分享@夏遇初临 带来的残酷难度攻略，希望能帮到大家。视频请戳：L7月23日0精通残酷突变攻略 星际争霸2合作任务"
7月21日 12:42,#暴雪游戏铁人五项#今晚大哥要登场了！
7月20日 17:06,"今天18点。继续来看KSL韩国职业联赛！在昨天的比赛中A组Mini 3:0击败Last；Rain 3:0击败Movie。今天让我们继续关注世界顶尖玩家在《星际争霸：重制版》中的精彩角逐！直播请戳：O网页链接 昨日赛事回放：LKSL-S1 DAY1 7.19
或通过斗鱼：696178 ；熊猫：1631632 ； 虎牙：1735597169 ； 战 ...展开全文c"
7月20日 10:28,今天这个对阵，就问小色怎么输！
7月19日 17:00,"今天18点。一起来看KSL韩国职业联赛！世界顶尖《星际争霸》玩家将会在《星际争霸：重制版》韩国职业联赛（KSL）中展开精彩的对抗。各大直播平台暴雪游戏频道将会带来本次比赛的转播，欢迎届时收看。直播请戳：O网页链接

斗鱼：525207 ；熊猫：1631631 ； 虎牙：1584989003 ； 战旗：16301  ...展开全文c"
7月19日 11:07,#我与星际争霸#微博有奖征文活动已经结束，我们收到了很多热心玩家们的投稿，感谢大家对《星际争霸》系列的热爱。经过评委团的讨论和评选，最终获奖结果名单如下： °#我与星际争霸#征文活动中奖公示
7月17日 14:09,7月19日-9月8日每周四、周五。一起来看KSL韩国职业联赛！随着《星际争霸：重制版》的发布，世界顶尖《星际争霸》玩家将会在《星际争霸：重制版》韩国职业联赛（KSL）中展开精彩的对抗。各大直播平台暴雪游戏频道将会带来本次比赛的转播，欢迎届时收看。详情：O网页链接
7月17日 11:18,第二期会扩大到全部的暴雪游戏哦~不来试试吗？
7月16日 15:27,"《星际争霸II》本周#突变任务#：“没钱麻烦大了”。
熔火危机
突变因子：
小捞油水；自毁程序；龙卷风暴

本周依然给大家分享@夏遇初临 带来的残酷难度攻略，希望能帮到大家。视频请戳：O网页链接"
7月13日 15:22,#暴雪游戏铁人五项#第二季7月20日敬请期待！
7月13日 14:36,6月29日，第三届WESG世界电子竞技运动会正式开赛，《星际争霸II》中国区预选赛开放报名中，赛事将持续3个月，走过中国20余个城市和地区，玩家报名后即可参加，着力打造低门槛、公平性赛事，让更多玩家可以参与进来。报名请戳：O网页链接 赛事详情：O网页链接
7月12日 15:48,2018年暴雪游戏#全民实力赛#夏季赛正式开启，本赛季新增的《星际争霸II》，以及《守望先锋》、《炉石传说》、《风暴英雄》，四大项目报名已经全面开放，所有玩家均可报名参加！作为一项零门槛的全民性赛事，只要你喜欢《星际争霸II》，全民实力赛就会成为你的舞台！报名请戳：O网页链接
7月12日 14:20,原来是这么一套试卷啊~来测测看你能得多少分！
7月12日 12:02,"今晚21:45。《星际争霸II》世界锦标赛巡回赛瓦伦西亚站就将打响，iAsonu、Rushcrazy和Cloudy将会代表中国赛区参赛，与来自世界各地的顶尖选手角逐高达101,000美元的总奖金，宝贵的世界锦标赛巡回赛积分，以及属于冠军的2018世界锦标赛全球总决赛参赛名额。欢迎大家锁定直播：O网页链接
或通 ...展开全文c"
7月11日 19:59,你的暴雪梦之队会有哪些成员？！
7月11日 17:54,"《星际争霸II》世界锦标赛巡回赛瓦伦西亚站将于北京时间7月12日21:45 打响，IG俱乐部的iAsonu、Rushcrazy和Xteam俱乐部的Cloudy将会代表中国赛区参赛，与来自世界各地的顶尖选手角逐高达101,000美元的总奖金，宝贵的世界锦标赛巡回赛积分，以及属于冠军的2018世界锦标赛全球总决赛参赛名额。敬请关注直 ...展开全文c"
7月11日 17:03,世界锦标赛系列赛中国选手：我们来了，瓦伦西亚！2018《星际争霸II》世界锦标赛系列赛瓦伦西亚站将于7月12日 - 7月15日正式打响，本届赛事有三名中国选手出战瓦伦西亚站，分别是@iG电子竞技俱乐部 的iAsonu、Rushcrazy和Xteam俱乐部的Cloudy。让我们一起了解他们将如何备战！请戳：O网页链接
7月11日 14:18,我们星际队的闭着眼睛就能拿冠军！
7月10日 16:56,《星际争霸II》银白联赛第三十四周的报名将于 7月9日-7月15日 进行，比赛将于 7月21日-7月22日 进行，人数上限为128人。欢迎各位《星际争霸II》的爱好者们踊跃报名参与比赛。报名请戳：O网页链接
7月10日 11:20,为了迎接暑期的到来，我们将为各位指挥官推出《星际争霸Ⅱ》暑期限时特惠，战役、指挥官礼包以及播报员礼包等热门产品一网打尽，部分产品低至5折。本次活动将从即日至7月31日结束，总共持续3周的时间。快来补齐你的收藏吧！促销详情戳：O网页链接
7月9日 18:38,你是否认真看完了《星际争霸II：自由之翼》的剧情呢？或者说已经有些淡忘了？在《星际争霸重制版》来临之际，不妨一起来回顾一番《星际争霸II》的剧情吧！3分钟带你看完《自由之翼》的故事：O网页链接
7月9日 16:08,谁说我们星际没有女玩家~！无论是守望先锋 还是星际争霸我们都是暴雪玩家~！
7月9日 14:45,"《星际争霸II》本周#突变任务#：“黑暗时刻”。
克哈裂痕
突变因子：
风暴英雄；坚强意志；鼓舞人心

本周依然给大家分享@夏遇初临 带来的残酷难度攻略，希望能帮到大家。视频请戳：O网页链接"
7月6日 16:31,"2018亚洲运动会将于今年夏天在印度尼西亚拉开序幕，《星际争霸Ⅱ》将被纳入这个全球规模第二大的综合体育赛事中。

除了《星际争霸Ⅱ》，其他如《炉石传说》以及更多游戏也将出现在亚运会上，这是电子竞技首次取得国际奥林匹克委员会区域机构的认可。当足球、游泳和田径运动员在亚运会上竞逐荣誉时，来 ...展开全文c"
7月6日 10:43,#暴雪游戏铁人五项# 第二季要来啦！7月20日晚八点！七位队长你看好谁呢？！
7月5日 11:06,#我与星际争霸#有多少人的启蒙游戏是星际争霸？
7月4日 18:39,《星际争霸II》#黄金职业联赛#第三赛季落下帷幕，Top.Cyan以第一名的优秀成绩获得了世界锦标巡回赛蒙特利尔站的晋级资格。重回巅峰的他是如何度过风雨飘摇的时期？作为一位准父亲，身份上的变化会对他的心态和职业生涯上带来怎样的变化?今天一起来了解他背后的心路历程：O网页链接  ...展开全文c
7月4日 16:28,在上周末#黄金职业联赛#第三赛季决赛的舞台上，进行了一场别开生面的大魔王挑战赛。来自韩国的职业选手Flash与中国选手JeDi、Leiche进行了《星际争霸：重制版》的精彩对决。如果你没有来得及观看，我们特意上传了实况录像，欢迎欣赏：O网页链接
7月3日 14:57,#我与星际争霸#微博有奖征文活动本周是最后一周~我们收到了很多指挥官们的精彩故事，还想分享故事的指挥官们要抓紧时间咯~！
7月2日 16:54,哇！真希望有这么和平的一天！太棒了！谢谢你！#星际争霸二十周年#
7月2日 14:04,"《星际争霸II》本周#突变任务#：“死亡危机”。
往日神庙
突变因子：
虚空重生者；行尸走肉；力量蜕变

本周依然给大家分享@夏遇初临 带来的残酷难度攻略，希望能帮到大家。视频请戳：O网页链接"
6月30日 22:09,《星际争霸II》#黄金职业联赛#第三赛季冠军诞生！在今晚先进行的#中国好星际#特别篇大魔王挑战赛里，Flash在三场比赛中全部获胜。而在最后的黄金职业联赛决赛中，TOP.Cyan以4:0的比分战胜了TooDming，捧起了冠军奖杯，祝贺他！也期待这两位选手在接下来的世界锦标赛巡回赛蒙特利尔站中能够有更出色发挥 ...展开全文c
6月30日 19:18,神秘大魔王的真实身份揭晓！他就是来自韩国的Flash！他将在接下来的大魔王挑战赛中，迎战中国选手JeDi和Leiche！一起来锁定直播：O网页链接
6月30日 16:46,今天17点，别错过《中国好星际》特别篇和黄金职业联赛第三赛季的最终决战！直播请猛戳：O网页链接
6月30日 15:30,"今天17点。我们将首先迎来《中国好星际》特别篇的精彩节目以及充满悬念的大魔王挑战赛。在那之后将会是黄金职业联赛第三赛季的最终决战。无论是想感受韩国天王级选手的强悍实力，还是见证黄金职业联赛的冠军归属，都不要错过今天的精彩直播：O网页链接

斗鱼：525207 ；熊猫：1631631 ； 虎 ...展开全文c"
6月30日 13:00,"今日17:00 别错过#中国好星际#特别篇！ @毒奶色 @tossboy孙一峰 @三炮SCDL @刘青是二龙 四位导师将选出两位特别期学员挑战“神秘大魔王”，敬请关注。
另外，你觉得“大魔王”会是谁？"
6月29日 23:21,《星际争霸II》#黄金职业联赛#第三赛季淘汰赛结束，Cyan和TooDming会师决赛，也获得了《星际争霸II》世界锦标赛巡回赛蒙特利尔站的参赛名额。明天（6月29日）17点起，我们就将迎来两位选手的总决赛，究竟谁能够夺得第三赛季的冠军呢？此外，还有#中国好星际#特别篇精彩别错过！直播请继续锁定： ...展开全文c
6月29日 20:58,"《星际争霸II》#黄金职业联赛#第三赛季淘汰赛正在激烈进行中。TOP.Cyan在半决赛中击败了TOP.Jieshi成功晋级决赛。目前正在进行的是另一场半决赛，由Shana对抗Toodming，究竟谁能拿到进入决赛的最后一个名额？一起来关注直播：O网页链接
或通过斗鱼：525207 ；熊猫：1631631 ； 虎牙：1584989 ...展开全文c"
6月29日 18:12,#中国好星际#特别篇将于6月30日17:00播出！特别篇将使用《星际争霸：重制版》进行，小色、F91、三炮、二龙四位导师将在挑战者中挑选心仪的学员，并用自己丰富的经验帮助他们。在特别篇中成绩最好的两位选手，更有机会挑战神秘韩国天王，与其在《星际争霸：重制版》中一较高下！精彩别错过： ...展开全文c
6月29日 12:22,"今天13点。一起来关注《星际争霸II》#黄金职业联赛#第三赛季八强淘汰赛！BreakingGG、TOP.Jieshi、TOP.Cyan、IGXY、Shana、IGXiGua、Toodming、夜蝶八位选手将通过BO5单败淘汰赛争夺决赛名额，究竟谁能够冲入决赛呢？一起来关注直播：O网页链接

或通过斗鱼：525207 ；熊猫：1631631 ； 虎牙 ...展开全文c"
6月28日 17:58,"种子选手赛场失利，“好星际”学员新人崛起。你Pick的选手能晋级2018《星际争霸II》世界锦标赛巡回赛蒙特利尔站吗？6月29-30日猜不到结局的《星际争霸II》#黄金职业联赛#第三季了解一下！

记得锁定直播地址：O网页链接"
6月28日 16:45,在《星际争霸II》4.4.0版本中，合作任务指挥官凯瑞甘的异龙单位获得了改动。今天分享来自up主“大黑的兔子”的一段视频，详细解析了改动后的凯瑞甘异龙用法。欢迎观摩：O网页链接
